# name	group	subgroup	jane_count
# Generated by tools/emojigen. Do not edit by hand.
+1	People & Body	hand-fingers-closed	0
-1	People & Body	hand-fingers-closed	0
100	Smileys & Emotion	emotion	0
1234	Symbols	alphanum	1
8ball	Activities	game	1
a	Symbols	alphanum	0
ab	Symbols	alphanum	0
abc	Symbols	alphanum	9
abcd	Symbols	alphanum	0
accept	Symbols	alphanum	0
aerial_tramway	Travel & Places	transport-air	0
airplane	Travel & Places	transport-air	1
alarm_clock	Travel & Places	time	0
alembic	Objects	science	5
alien	Smileys & Emotion	face-costume	2
ambulance	Travel & Places	transport-ground	5
amphora	Food & Drink	dishware	0
anchor	Travel & Places	transport-water	0
angel	People & Body	person-fantasy	0
anger	Smileys & Emotion	emotion	0
angry	Smileys & Emotion	face-negative	1
anguished	Smileys & Emotion	face-concerned	0
ant	Animals & Nature	animal-bug	1
apple	Food & Drink	food-fruit	0
aquarius	Symbols	zodiac	0
aries	Symbols	zodiac	0
arrow_backward	Symbols	av-symbol	0
arrow_double_down	Symbols	av-symbol	0
arrow_double_up	Symbols	av-symbol	0
arrow_down	Symbols	arrow	0
arrow_down_small	Symbols	av-symbol	0
arrow_forward	Symbols	av-symbol	0
arrow_heading_down	Symbols	arrow	0
arrow_heading_up	Symbols	arrow	0
arrow_left	Symbols	arrow	0
arrow_lower_left	Symbols	arrow	0
arrow_lower_right	Symbols	arrow	0
arrow_right	Symbols	arrow	0
arrow_right_hook	Symbols	arrow	0
arrow_up	Symbols	arrow	59
arrow_up_down	Symbols	arrow	0
arrow_up_small	Symbols	av-symbol	0
arrow_upper_left	Symbols	arrow	0
arrow_upper_right	Symbols	arrow	0
arrows_clockwise	Symbols	arrow	0
arrows_counterclockwise	Symbols	arrow	0
art	Activities	arts & crafts	60
articulated_lorry	Travel & Places	transport-ground	0
artificial_satellite	Travel & Places	transport-air	0
astonished	Smileys & Emotion	face-concerned	0
athletic_shoe	Objects	clothing	0
atm	Symbols	transport-sign	0
atom_symbol	Symbols	religion	0
b	Symbols	alphanum	0
baby	People & Body	person	0
baby_bottle	Food & Drink	drink	2
baby_chick	Animals & Nature	animal-bird	0
baby_symbol	Symbols	transport-sign	0
back	Symbols	arrow	0
badminton	Activities	sport	0
baggage_claim	Symbols	transport-sign	0
balance_scale	Objects	tool	0
balloon	Activities	event	1
ballot_box	Objects	mail	0
ballot_box_with_check	Symbols	other-symbol	0
bamboo	Activities	event	0
banana	Food & Drink	food-fruit	0
bangbang	Symbols	punctuation	1
bank	Travel & Places	place-building	0
bar_chart	Objects	office	1
barber	Travel & Places	place-other	0
baseball	Activities	sport	1
basketball	Activities	sport	0
bath	People & Body	person-resting	1
bathtub	Objects	household	5
battery	Objects	computer	1
beach_umbrella	Travel & Places	place-geographic	0
bear	Animals & Nature	animal-mammal	3
bed	Objects	household	1
bee	Animals & Nature	animal-bug	2
beer	Food & Drink	drink	4
beers	Food & Drink	drink	1
beetle	Animals & Nature	animal-bug	1
beginner	Symbols	other-symbol	0
bell	Objects	sound	4
bellhop_bell	Travel & Places	hotel	1
bento	Food & Drink	food-asian	1
bicyclist	People & Body	person-sport	0
bike	Travel & Places	transport-ground	0
bikini	Objects	clothing	0
biohazard	Symbols	warning	0
bird	Animals & Nature	animal-bird	0
birthday	Food & Drink	food-sweet	0
black_circle	Symbols	geometric	0
black_flag	Flags	flag	0
black_joker	Activities	game	3
black_large_square	Symbols	geometric	0
black_medium_small_square	Symbols	geometric	0
black_medium_square	Symbols	geometric	0
black_nib	Objects	writing	2
black_small_square	Symbols	geometric	0
black_square_button	Symbols	geometric	0
blond_haired_person	People & Body	person	0
blossom	Animals & Nature	plant-flower	1
blowfish	Animals & Nature	animal-marine	1
blue_book	Objects	book-paper	0
blue_car	Travel & Places	transport-ground	0
blue_heart	Smileys & Emotion	heart	0
blush	Smileys & Emotion	face-smiling	0
boar	Animals & Nature	animal-mammal	76
